policy,seed,delta_hedged_pnl_vs_oracle_gap,delta_lp_vs_hold_vs_oracle_gap,delta_fee_revenue_vs_oracle_gap,delta_lvr_vs_oracle_gap,delta_volume_vs_oracle_gap
fixed_10bps,5208,-0.2181,-0.0000,-0.2128,0.0053,-557.0979
fixed_10bps,5209,-0.2260,-0.0000,-0.2289,-0.0028,-565.0634
fixed_10bps,5210,-0.2182,-0.0000,-0.2215,-0.0033,-563.1723
fixed_10bps,5211,-0.2085,-0.0000,-0.2115,-0.0030,-548.9379
fixed_10bps,5212,-0.2225,-0.0000,-0.2192,0.0033,-565.0217
fixed_10bps,5213,-0.2216,-0.0000,-0.2204,0.0012,-557.0608
fixed_10bps,5214,-0.2136,-0.0000,-0.2172,-0.0036,-546.2005
fixed_10bps,5215,-0.2190,-0.0000,-0.2252,-0.0061,-557.3617
fixed_10bps,5216,-0.2234,-0.0000,-0.2164,0.0070,-562.4347
fixed_10bps,5217,-0.2126,-0.0000,-0.2187,-0.0061,-546.0499
fixed_10bps,5218,-0.2161,-0.0000,-0.2208,-0.0047,-553.9764
fixed_10bps,5219,-0.2252,-0.0000,-0.2276,-0.0024,-561.5904
fixed_10bps,5220,-0.2075,-0.0000,-0.2147,-0.0072,-544.7104
fixed_10bps,5221,-0.2219,-0.0000,-0.2308,-0.0089,-547.7408
fixed_10bps,5222,-0.2121,-0.0000,-0.2093,0.0027,-552.4707
fixed_10bps,5223,-0.2158,-0.0000,-0.2207,-0.0049,-562.2110
fixed_10bps,5224,-0.2276,-0.0000,-0.2364,-0.0088,-557.9141
fixed_10bps,5225,-0.2196,-0.0000,-0.2265,-0.0069,-558.4873
fixed_10bps,5226,-0.2131,-0.0000,-0.2043,0.0088,-551.8166
fixed_10bps,5227,-0.2280,-0.0000,-0.2302,-0.0022,-563.0965
fixed_10bps,5228,-0.2149,-0.0000,-0.2239,-0.0090,-547.8272
fixed_10bps,5229,-0.2100,-0.0000,-0.2099,0.0001,-547.8333
fixed_10bps,5230,-0.2178,-0.0000,-0.2168,0.0009,-558.1954
fixed_10bps,5231,-0.2146,-0.0000,-0.2142,0.0004,-552.5114
fixed_10bps,5232,-0.2169,-0.0000,-0.2168,0.0002,-558.3053
fixed_10bps,5233,-0.2117,-0.0000,-0.2110,0.0007,-552.7968
fixed_10bps,5234,-0.2100,-0.0000,-0.2089,0.0011,-553.6067
fixed_10bps,5235,-0.2127,-0.0000,-0.2167,-0.0040,-549.2727
fixed_10bps,5236,-0.2133,-0.0000,-0.2068,0.0065,-550.7796
fixed_10bps,5237,-0.2302,-0.0000,-0.2200,0.0102,-570.8430
fixed_10bps,5238,-0.2298,-0.0000,-0.2215,0.0083,-569.7304
fixed_10bps,5239,-0.2155,-0.0000,-0.2035,0.0121,-557.8784
fixed_10bps,5240,-0.2110,-0.0000,-0.2043,0.0067,-549.6602
fixed_10bps,5241,-0.2164,-0.0000,-0.2177,-0.0013,-546.4304
fixed_10bps,5242,-0.2180,-0.0000,-0.2257,-0.0077,-559.8085
fixed_10bps,5243,-0.2175,-0.0000,-0.2106,0.0070,-559.8245
fixed_10bps,5244,-0.2155,-0.0000,-0.2123,0.0032,-558.2083
fixed_10bps,5245,-0.2210,-0.0000,-0.2275,-0.0065,-555.5154
fixed_10bps,5246,-0.2006,-0.0000,-0.1924,0.0082,-556.5228
fixed_10bps,5247,-0.2200,-0.0000,-0.2209,-0.0009,-563.5231
fixed_10bps,5248,-0.2198,-0.0000,-0.2079,0.0120,-557.8248
fixed_10bps,5249,-0.2076,-0.0000,-0.2128,-0.0051,-546.7078
fixed_10bps,5250,-0.2215,-0.0000,-0.2289,-0.0073,-559.9499
fixed_10bps,5251,-0.2252,-0.0000,-0.2344,-0.0092,-567.0635
fixed_10bps,5252,-0.2167,-0.0000,-0.2237,-0.0070,-546.5245
fixed_10bps,5253,-0.2072,-0.0000,-0.2008,0.0064,-551.8382
fixed_10bps,5254,-0.2199,-0.0000,-0.2219,-0.0020,-559.5734
fixed_10bps,5255,-0.2311,-0.0000,-0.2280,0.0031,-567.5696
fixed_10bps,5256,-0.2225,-0.0000,-0.2317,-0.0092,-555.5737
fixed_10bps,5257,-0.2150,-0.0000,-0.2218,-0.0068,-564.4437
fixed_10bps,5258,-0.2247,-0.0000,-0.2208,0.0039,-557.7513
fixed_10bps,5259,-0.2226,-0.0000,-0.2220,0.0006,-558.6344
fixed_10bps,5260,-0.2187,-0.0000,-0.2257,-0.0070,-554.9869
fixed_10bps,5261,-0.2277,-0.0000,-0.2295,-0.0018,-563.1696
fixed_10bps,5262,-0.2174,-0.0000,-0.2156,0.0018,-561.5799
fixed_10bps,5263,-0.2222,-0.0000,-0.2204,0.0018,-559.2097
fixed_10bps,5264,-0.2201,-0.0000,-0.2169,0.0032,-568.4545
fixed_10bps,5265,-0.2095,-0.0000,-0.1984,0.0111,-546.8143
fixed_10bps,5266,-0.2203,-0.0000,-0.2265,-0.0062,-566.0799
fixed_10bps,5267,-0.2098,-0.0000,-0.2030,0.0068,-542.7132
fixed_10bps,5268,-0.2186,-0.0000,-0.2239,-0.0053,-554.3474
fixed_10bps,5269,-0.2205,-0.0000,-0.2232,-0.0027,-560.4346
fixed_10bps,5270,-0.2181,-0.0000,-0.2256,-0.0074,-550.9279
fixed_10bps,5271,-0.2171,-0.0000,-0.2165,0.0006,-558.7996
fixed_10bps,5272,-0.2124,-0.0000,-0.2120,0.0004,-550.4147
fixed_10bps,5273,-0.2259,-0.0000,-0.2331,-0.0072,-567.9569
fixed_10bps,5274,-0.2116,-0.0000,-0.2244,-0.0128,-549.8933
fixed_10bps,5275,-0.2232,-0.0000,-0.2201,0.0031,-568.5104
fixed_10bps,5276,-0.2225,-0.0000,-0.2222,0.0003,-557.3747
fixed_10bps,5277,-0.2094,-0.0000,-0.1974,0.0119,-557.8445
fixed_10bps,5278,-0.2145,-0.0000,-0.2146,-0.0001,-550.0501
fixed_10bps,5279,-0.2232,-0.0000,-0.2190,0.0042,-566.2989
fixed_10bps,5280,-0.2222,-0.0000,-0.2285,-0.0063,-553.7709
fixed_10bps,5281,-0.2222,-0.0000,-0.2180,0.0042,-563.4723
fixed_10bps,5282,-0.2229,-0.0000,-0.2152,0.0077,-551.1815
fixed_10bps,5283,-0.2185,-0.0000,-0.2124,0.0061,-556.9169
fixed_10bps,5284,-0.2122,-0.0000,-0.2141,-0.0020,-548.9366
fixed_10bps,5285,-0.2219,-0.0000,-0.2306,-0.0087,-560.4843
fixed_10bps,5286,-0.2278,-0.0000,-0.2395,-0.0117,-563.6051
fixed_10bps,5287,-0.2153,-0.0000,-0.2234,-0.0081,-562.5646
fixed_10bps,5288,-0.2239,-0.0000,-0.2165,0.0074,-558.5701
fixed_10bps,5289,-0.2169,-0.0000,-0.2204,-0.0035,-556.0000
fixed_10bps,5290,-0.2083,-0.0000,-0.2058,0.0025,-537.1916
fixed_10bps,5291,-0.2176,-0.0000,-0.2146,0.0031,-558.8449
fixed_10bps,5292,-0.2253,-0.0000,-0.2221,0.0032,-565.1128
fixed_10bps,5293,-0.2235,-0.0000,-0.2303,-0.0068,-567.4111
fixed_10bps,5294,-0.2320,-0.0000,-0.2386,-0.0066,-572.6144
fixed_10bps,5295,-0.2254,-0.0000,-0.2184,0.0070,-567.5921
fixed_10bps,5296,-0.2125,-0.0000,-0.2186,-0.0061,-554.0503
fixed_10bps,5297,-0.2272,-0.0000,-0.2214,0.0058,-570.2833
fixed_10bps,5298,-0.2143,-0.0000,-0.2022,0.0121,-563.6827
fixed_10bps,5299,-0.2077,-0.0000,-0.2023,0.0054,-548.1153
fixed_10bps,5300,-0.2205,-0.0000,-0.2184,0.0021,-556.6103
fixed_10bps,5301,-0.2301,-0.0000,-0.2441,-0.0141,-564.4912
fixed_10bps,5302,-0.2224,-0.0000,-0.2305,-0.0082,-560.6885
fixed_10bps,5303,-0.2223,-0.0000,-0.2305,-0.0081,-565.5755
fixed_10bps,5304,-0.2040,-0.0000,-0.2043,-0.0002,-549.1228
fixed_10bps,5305,-0.2208,-0.0000,-0.2145,0.0063,-567.1376
fixed_10bps,5306,-0.2158,-0.0000,-0.2207,-0.0049,-548.9474
fixed_10bps,5307,-0.2161,-0.0000,-0.2214,-0.0053,-556.3606
fixed_10bps,5308,-0.2131,-0.0000,-0.2068,0.0063,-544.0750
fixed_10bps,5309,-0.2171,-0.0000,-0.2234,-0.0064,-549.0195
fixed_10bps,5310,-0.2185,-0.0000,-0.2129,0.0057,-565.5664
fixed_10bps,5311,-0.2168,-0.0000,-0.2183,-0.0014,-557.8994
fixed_10bps,5312,-0.2126,-0.0000,-0.2170,-0.0043,-547.8990
fixed_10bps,5313,-0.2251,-0.0000,-0.2196,0.0056,-572.2787
fixed_10bps,5314,-0.2116,-0.0000,-0.2097,0.0020,-545.9887
fixed_10bps,5315,-0.2135,-0.0000,-0.2076,0.0060,-548.3053
fixed_10bps,5316,-0.2210,-0.0000,-0.2173,0.0037,-560.9276
fixed_10bps,5317,-0.2149,-0.0000,-0.2187,-0.0037,-553.8976
fixed_10bps,5318,-0.2190,-0.0000,-0.2192,-0.0002,-558.7294
fixed_10bps,5319,-0.2159,-0.0000,-0.2142,0.0017,-560.6606
fixed_10bps,5320,-0.2170,-0.0000,-0.2133,0.0037,-551.3444
fixed_10bps,5321,-0.2155,-0.0000,-0.2103,0.0052,-555.6161
fixed_10bps,5322,-0.2295,-0.0000,-0.2356,-0.0061,-573.6418
fixed_10bps,5323,-0.2082,-0.0000,-0.2130,-0.0048,-545.6133
fixed_10bps,5324,-0.2144,-0.0000,-0.2276,-0.0131,-557.9348
fixed_10bps,5325,-0.2169,-0.0000,-0.2189,-0.0019,-564.6293
fixed_10bps,5326,-0.2171,-0.0000,-0.2053,0.0118,-557.9359
fixed_10bps,5327,-0.2181,-0.0000,-0.2277,-0.0096,-559.0078
fixed_10bps,5328,-0.2160,-0.0000,-0.2263,-0.0103,-546.7775
fixed_10bps,5329,-0.2030,-0.0000,-0.2141,-0.0111,-551.1887
fixed_10bps,5330,-0.2224,-0.0000,-0.2320,-0.0096,-549.3498
fixed_10bps,5331,-0.2208,-0.0000,-0.2356,-0.0149,-556.2839
fixed_10bps,5332,-0.2108,-0.0000,-0.1987,0.0120,-552.3805
fixed_10bps,5333,-0.2165,-0.0000,-0.2192,-0.0026,-560.3067
fixed_10bps,5334,-0.2165,-0.0000,-0.2155,0.0010,-558.3910
fixed_10bps,5335,-0.2224,-0.0000,-0.2248,-0.0024,-560.6777
fixed_10bps,5336,-0.2247,-0.0000,-0.2250,-0.0003,-573.6951
fixed_10bps,5337,-0.2081,-0.0000,-0.2120,-0.0038,-548.1764
fixed_10bps,5338,-0.2144,-0.0000,-0.2195,-0.0051,-550.8978
fixed_10bps,5339,-0.2133,-0.0000,-0.2104,0.0029,-556.1999
fixed_10bps,5340,-0.2150,-0.0000,-0.2136,0.0015,-556.5445
fixed_10bps,5341,-0.2108,-0.0000,-0.2085,0.0023,-560.1930
fixed_10bps,5342,-0.2246,-0.0000,-0.2224,0.0022,-563.3940
fixed_10bps,5343,-0.2271,-0.0000,-0.2378,-0.0106,-560.2713
fixed_10bps,5344,-0.2100,-0.0000,-0.2044,0.0056,-546.9115
fixed_10bps,5345,-0.2162,-0.0000,-0.2089,0.0072,-552.4669
fixed_10bps,5346,-0.2236,-0.0000,-0.2302,-0.0067,-553.3361
fixed_10bps,5347,-0.2047,-0.0000,-0.1835,0.0213,-543.9217
fixed_10bps,5348,-0.2131,-0.0000,-0.2106,0.0025,-551.0232
fixed_10bps,5349,-0.2283,-0.0000,-0.2346,-0.0063,-574.0953
fixed_10bps,5350,-0.2284,-0.0000,-0.2229,0.0055,-575.8954
fixed_10bps,5351,-0.2123,-0.0000,-0.2051,0.0072,-546.8748
fixed_10bps,5352,-0.2265,-0.0000,-0.2281,-0.0016,-565.3416
fixed_10bps,5353,-0.2242,-0.0000,-0.2284,-0.0042,-560.8344
fixed_10bps,5354,-0.2066,-0.0000,-0.2070,-0.0004,-545.0976
fixed_10bps,5355,-0.2278,-0.0000,-0.2322,-0.0044,-566.3155
fixed_10bps,5356,-0.2339,-0.0000,-0.2382,-0.0043,-580.0198
fixed_10bps,5357,-0.2175,-0.0000,-0.2129,0.0046,-556.4658
fixed_10bps,5358,-0.2168,-0.0000,-0.2156,0.0012,-557.0510
fixed_10bps,5359,-0.2155,-0.0000,-0.2045,0.0111,-559.1115
fixed_10bps,5360,-0.2270,-0.0000,-0.2237,0.0033,-558.7913
fixed_10bps,5361,-0.2277,-0.0000,-0.2344,-0.0067,-567.8406
fixed_10bps,5362,-0.2142,-0.0000,-0.2186,-0.0044,-554.4147
fixed_10bps,5363,-0.2154,-0.0000,-0.2161,-0.0007,-555.4684
fixed_10bps,5364,-0.2202,-0.0000,-0.2097,0.0105,-559.4507
fixed_10bps,5365,-0.2286,-0.0000,-0.2205,0.0080,-570.2201
fixed_10bps,5366,-0.2271,-0.0000,-0.2337,-0.0066,-559.7364
fixed_10bps,5367,-0.2233,-0.0000,-0.2320,-0.0087,-561.4610
fixed_10bps,5368,-0.2136,-0.0000,-0.2206,-0.0069,-554.7445
fixed_10bps,5369,-0.2242,-0.0000,-0.2291,-0.0049,-565.0986
fixed_10bps,5370,-0.2166,-0.0000,-0.2088,0.0078,-549.4866
fixed_10bps,5371,-0.2177,-0.0000,-0.2183,-0.0006,-554.2961
fixed_10bps,5372,-0.2161,-0.0000,-0.2161,0.0000,-556.4497
fixed_10bps,5373,-0.2138,-0.0000,-0.2125,0.0012,-553.4929
fixed_10bps,5374,-0.2082,-0.0000,-0.2051,0.0031,-555.5067
fixed_10bps,5375,-0.2204,-0.0000,-0.2187,0.0017,-562.6271
fixed_10bps,5376,-0.2240,-0.0000,-0.2225,0.0014,-555.5428
fixed_10bps,5377,-0.2250,-0.0000,-0.2222,0.0028,-566.3512
fixed_10bps,5378,-0.2089,-0.0000,-0.2111,-0.0022,-550.0394
fixed_10bps,5379,-0.2225,-0.0000,-0.2167,0.0058,-559.0995
fixed_10bps,5380,-0.2156,-0.0000,-0.2139,0.0016,-551.1863
fixed_10bps,5381,-0.2252,-0.0000,-0.2322,-0.0070,-563.3402
fixed_10bps,5382,-0.2133,-0.0000,-0.2154,-0.0022,-555.0316
fixed_10bps,5383,-0.2092,-0.0000,-0.1991,0.0101,-541.9613
fixed_10bps,5384,-0.2227,-0.0000,-0.2264,-0.0037,-561.7423
fixed_10bps,5385,-0.2076,-0.0000,-0.2042,0.0034,-550.4564
fixed_10bps,5386,-0.2280,-0.0000,-0.2296,-0.0016,-561.3074
fixed_10bps,5387,-0.2101,-0.0000,-0.2178,-0.0078,-550.2026
fixed_10bps,5388,-0.2204,-0.0000,-0.2199,0.0005,-556.7521
fixed_10bps,5389,-0.2153,-0.0000,-0.2232,-0.0079,-552.4541
fixed_10bps,5390,-0.2175,-0.0000,-0.2108,0.0067,-558.0171
fixed_10bps,5391,-0.2202,-0.0000,-0.2192,0.0010,-551.0163
fixed_10bps,5392,-0.2136,-0.0000,-0.2203,-0.0067,-548.0048
fixed_10bps,5393,-0.2133,-0.0000,-0.2159,-0.0026,-555.7502
fixed_10bps,5394,-0.2117,-0.0000,-0.2121,-0.0004,-551.4615
fixed_10bps,5395,-0.2130,-0.0000,-0.2068,0.0062,-550.0323
fixed_10bps,5396,-0.2140,-0.0000,-0.2063,0.0076,-553.7616
fixed_10bps,5397,-0.2156,-0.0000,-0.2185,-0.0029,-544.8283
fixed_10bps,5398,-0.2103,-0.0000,-0.2094,0.0009,-542.9254
fixed_10bps,5399,-0.2158,-0.0000,-0.2072,0.0086,-554.6375
fixed_10bps,5400,-0.2271,-0.0000,-0.2328,-0.0057,-566.2731
fixed_10bps,5401,-0.2118,-0.0000,-0.2112,0.0005,-551.0037
fixed_10bps,5402,-0.2093,-0.0000,-0.2208,-0.0115,-552.3829
fixed_10bps,5403,-0.1999,-0.0000,-0.1871,0.0128,-540.2820
fixed_10bps,5404,-0.2215,-0.0000,-0.2287,-0.0073,-561.3690
fixed_10bps,5405,-0.2101,-0.0000,-0.2148,-0.0047,-543.4298
fixed_10bps,5406,-0.2182,-0.0000,-0.2146,0.0036,-554.9762
fixed_10bps,5407,-0.2211,-0.0000,-0.2132,0.0079,-554.9141
fixed_10bps,5408,-0.2157,-0.0000,-0.2203,-0.0045,-551.0273
fixed_10bps,5409,-0.2172,-0.0000,-0.2160,0.0012,-560.4011
fixed_10bps,5410,-0.2168,-0.0000,-0.2024,0.0144,-553.0183
fixed_10bps,5411,-0.2212,-0.0000,-0.2172,0.0041,-563.7218
fixed_10bps,5412,-0.2155,-0.0000,-0.2169,-0.0013,-552.5729
fixed_10bps,5413,-0.2213,-0.0000,-0.2171,0.0042,-557.0121
fixed_10bps,5414,-0.2270,-0.0000,-0.2333,-0.0063,-567.5663
fixed_10bps,5415,-0.2117,-0.0000,-0.2171,-0.0054,-552.7229
fixed_10bps,5416,-0.2104,-0.0000,-0.2020,0.0085,-548.7069
fixed_10bps,5417,-0.2219,-0.0000,-0.2114,0.0105,-554.0897
fixed_10bps,5418,-0.2290,-0.0000,-0.2273,0.0016,-568.8721
fixed_10bps,5419,-0.2232,-0.0000,-0.2370,-0.0138,-570.9393
fixed_10bps,5420,-0.2216,-0.0000,-0.2250,-0.0035,-557.2649
fixed_10bps,5421,-0.2264,-0.0000,-0.2429,-0.0165,-566.3273
fixed_10bps,5422,-0.2035,-0.0000,-0.2056,-0.0020,-542.3951
fixed_10bps,5423,-0.2260,-0.0000,-0.2253,0.0006,-559.2931
fixed_10bps,5424,-0.2212,-0.0000,-0.2243,-0.0031,-562.7204
fixed_10bps,5425,-0.2176,-0.0000,-0.2075,0.0101,-551.1368
fixed_10bps,5426,-0.2286,-0.0000,-0.2287,-0.0001,-557.8886
fixed_10bps,5427,-0.2225,-0.0000,-0.2155,0.0070,-562.1438
fixed_10bps,5428,-0.2221,-0.0000,-0.2293,-0.0072,-568.1927
fixed_10bps,5429,-0.2272,-0.0000,-0.2269,0.0003,-560.7447
fixed_10bps,5430,-0.2050,-0.0000,-0.2131,-0.0081,-542.3277
fixed_10bps,5431,-0.2240,-0.0000,-0.2212,0.0028,-556.1767
fixed_10bps,5432,-0.2158,-0.0000,-0.2178,-0.0021,-560.7752
fixed_10bps,5433,-0.2220,-0.0000,-0.2216,0.0004,-558.9881
fixed_10bps,5434,-0.2103,-0.0000,-0.2071,0.0032,-553.0392
fixed_10bps,5435,-0.2093,-0.0000,-0.2087,0.0006,-545.3102
fixed_10bps,5436,-0.2120,-0.0000,-0.2126,-0.0006,-552.6323
fixed_10bps,5437,-0.2193,-0.0000,-0.2213,-0.0019,-562.5827
fixed_10bps,5438,-0.2180,-0.0000,-0.2300,-0.0120,-564.9472
fixed_10bps,5439,-0.2224,-0.0000,-0.2251,-0.0027,-561.7753
fixed_10bps,5440,-0.2260,-0.0000,-0.2209,0.0052,-559.7004
fixed_10bps,5441,-0.2174,-0.0000,-0.2103,0.0071,-558.3661
fixed_10bps,5442,-0.2274,-0.0000,-0.2290,-0.0016,-572.9611
fixed_10bps,5443,-0.2068,-0.0000,-0.2033,0.0035,-553.3555
fixed_10bps,5444,-0.2217,-0.0000,-0.2209,0.0009,-561.6539
fixed_10bps,5445,-0.2158,-0.0000,-0.2154,0.0004,-555.8493
fixed_10bps,5446,-0.2085,-0.0000,-0.2075,0.0011,-549.5608
fixed_10bps,5447,-0.2118,-0.0000,-0.2113,0.0005,-555.5868
fixed_10bps,5448,-0.2276,-0.0000,-0.2319,-0.0043,-568.6844
fixed_10bps,5449,-0.2247,-0.0000,-0.2410,-0.0162,-557.9969
fixed_10bps,5450,-0.2164,-0.0000,-0.2224,-0.0060,-566.2127
fixed_10bps,5451,-0.2221,-0.0000,-0.2209,0.0012,-560.3953
fixed_10bps,5452,-0.2168,-0.0000,-0.2095,0.0072,-551.6020
fixed_10bps,5453,-0.2277,-0.0000,-0.2252,0.0025,-569.1599
fixed_10bps,5454,-0.2135,-0.0000,-0.2158,-0.0024,-554.0234
fixed_10bps,5455,-0.2109,-0.0000,-0.2124,-0.0016,-549.0904
fixed_10bps,5456,-0.2047,-0.0000,-0.1917,0.0130,-547.2257
fixed_10bps,5457,-0.2161,-0.0000,-0.2090,0.0071,-562.4382
fixed_10bps,5458,-0.2135,-0.0000,-0.2092,0.0043,-553.1966
fixed_10bps,5459,-0.2290,-0.0000,-0.2317,-0.0027,-575.1441
fixed_10bps,5460,-0.2305,-0.0000,-0.2262,0.0043,-566.2018
fixed_10bps,5461,-0.2174,-0.0000,-0.2214,-0.0041,-561.3668
fixed_10bps,5462,-0.2154,-0.0000,-0.2121,0.0033,-551.9146
fixed_10bps,5463,-0.2117,-0.0000,-0.2201,-0.0084,-546.8917
fixed_10bps,5464,-0.2213,-0.0000,-0.2209,0.0004,-555.2895
fixed_10bps,5465,-0.2286,-0.0000,-0.2307,-0.0021,-565.8294
fixed_10bps,5466,-0.2156,-0.0000,-0.2120,0.0036,-547.2856
fixed_10bps,5467,-0.2158,-0.0000,-0.2215,-0.0057,-547.5680
fixed_10bps,5468,-0.2159,-0.0000,-0.2094,0.0065,-555.6525
fixed_10bps,5469,-0.2231,-0.0000,-0.2283,-0.0053,-558.6569
fixed_10bps,5470,-0.2231,-0.0000,-0.2266,-0.0036,-563.8365
fixed_10bps,5471,-0.2167,-0.0000,-0.2328,-0.0161,-550.9229
fixed_10bps,5472,-0.2156,-0.0000,-0.2144,0.0012,-549.3997
fixed_10bps,5473,-0.2171,-0.0000,-0.2198,-0.0027,-549.7975
fixed_10bps,5474,-0.2148,-0.0000,-0.2192,-0.0043,-560.7207
fixed_10bps,5475,-0.2084,-0.0000,-0.2092,-0.0008,-539.3161
fixed_10bps,5476,-0.2191,-0.0000,-0.2122,0.0069,-562.1424
fixed_10bps,5477,-0.2185,-0.0000,-0.2079,0.0106,-555.3228
fixed_10bps,5478,-0.2156,-0.0000,-0.2174,-0.0018,-550.8421
fixed_10bps,5479,-0.2192,-0.0000,-0.2221,-0.0029,-553.6763
fixed_10bps,5480,-0.2145,-0.0000,-0.2055,0.0090,-547.2445
fixed_10bps,5481,-0.2148,-0.0000,-0.2229,-0.0081,-561.1136
fixed_10bps,5482,-0.2187,-0.0000,-0.2104,0.0083,-555.2223
fixed_10bps,5483,-0.2075,-0.0000,-0.2010,0.0064,-545.6793
fixed_10bps,5484,-0.2279,-0.0000,-0.2222,0.0057,-565.8604
fixed_10bps,5485,-0.2195,-0.0000,-0.2278,-0.0083,-570.0031
fixed_10bps,5486,-0.2227,-0.0000,-0.2273,-0.0046,-558.0815
fixed_10bps,5487,-0.2252,-0.0000,-0.2237,0.0015,-564.9536
fixed_10bps,5488,-0.2138,-0.0000,-0.2162,-0.0025,-557.3256
fixed_10bps,5489,-0.2276,-0.0000,-0.2222,0.0054,-569.7768
fixed_10bps,5490,-0.2291,-0.0000,-0.2331,-0.0040,-568.8414
fixed_10bps,5491,-0.2350,-0.0000,-0.2545,-0.0195,-574.7043
fixed_10bps,5492,-0.2200,-0.0000,-0.2241,-0.0040,-559.3725
fixed_10bps,5493,-0.2092,-0.0000,-0.2053,0.0039,-550.1410
fixed_10bps,5494,-0.2227,-0.0000,-0.2258,-0.0031,-569.8407
fixed_10bps,5495,-0.2294,-0.0000,-0.2285,0.0009,-570.5472
fixed_10bps,5496,-0.2200,-0.0000,-0.2223,-0.0024,-538.8320
fixed_10bps,5497,-0.2087,-0.0000,-0.2004,0.0082,-542.4760
fixed_10bps,5498,-0.2220,-0.0000,-0.2275,-0.0055,-562.3489
fixed_10bps,5499,-0.2187,-0.0000,-0.2190,-0.0003,-560.9433
inventory_gap,5000,-0.0142,0.0000,-0.0158,-0.0016,173.4734
inventory_gap,5001,-0.0118,0.0000,-0.0098,0.0020,171.9418
inventory_gap,5002,-0.0122,0.0000,-0.0140,-0.0018,174.3896
inventory_gap,5003,-0.0159,0.0000,-0.0148,0.0011,178.1647
inventory_gap,5004,-0.0126,0.0000,-0.0152,-0.0026,175.0826
inventory_gap,5005,-0.0141,0.0000,-0.0158,-0.0016,174.6350
inventory_gap,5006,-0.0102,0.0000,-0.0114,-0.0011,172.4909
inventory_gap,5007,-0.0140,0.0000,-0.0150,-0.0009,172.5091
inventory_gap,5008,-0.0133,0.0000,-0.0107,0.0026,175.9740
inventory_gap,5009,-0.0114,0.0000,-0.0109,0.0005,170.5486
inventory_gap,5010,-0.0108,0.0000,-0.0113,-0.0004,175.7823
inventory_gap,5011,-0.0151,0.0000,-0.0124,0.0028,174.9318
inventory_gap,5012,-0.0151,0.0000,-0.0150,0.0001,175.9481
inventory_gap,5013,-0.0093,0.0000,-0.0117,-0.0023,168.2689
inventory_gap,5014,-0.0107,0.0000,-0.0104,0.0003,174.9560
inventory_gap,5015,-0.0081,0.0000,-0.0096,-0.0015,171.3874
inventory_gap,5016,-0.0153,0.0000,-0.0162,-0.0009,172.8077
inventory_gap,5017,-0.0141,0.0000,-0.0155,-0.0014,175.0214
inventory_gap,5018,-0.0134,0.0000,-0.0145,-0.0012,173.7777
inventory_gap,5019,-0.0105,0.0000,-0.0154,-0.0048,170.0503
inventory_gap,5020,-0.0149,0.0000,-0.0152,-0.0003,174.3099
inventory_gap,5021,-0.0144,0.0000,-0.0126,0.0019,174.2510
inventory_gap,5022,-0.0113,0.0000,-0.0117,-0.0004,174.7610
inventory_gap,5023,-0.0150,0.0000,-0.0181,-0.0031,176.2792
inventory_gap,5024,-0.0128,0.0000,-0.0161,-0.0032,170.6408
inventory_gap,5025,-0.0147,0.0000,-0.0136,0.0011,180.0218
inventory_gap,5026,-0.0137,0.0000,-0.0128,0.0009,176.3667
inventory_gap,5027,-0.0112,0.0000,-0.0122,-0.0010,172.7243
inventory_gap,5028,-0.0144,0.0000,-0.0135,0.0010,172.6378
inventory_gap,5029,-0.0129,0.0000,-0.0138,-0.0009,173.3864
inventory_gap,5030,-0.0117,0.0000,-0.0095,0.0022,173.7318
inventory_gap,5031,-0.0084,0.0000,-0.0110,-0.0026,169.6870
inventory_gap,5032,-0.0109,0.0000,-0.0100,0.0009,168.9782
inventory_gap,5033,-0.0159,0.0000,-0.0145,0.0014,178.0075
inventory_gap,5034,-0.0093,0.0000,-0.0126,-0.0032,168.7537
inventory_gap,5035,-0.0109,0.0000,-0.0118,-0.0008,172.1647
inventory_gap,5036,-0.0110,0.0000,-0.0094,0.0015,172.5580
inventory_gap,5037,-0.0161,0.0000,-0.0121,0.0041,180.9048
inventory_gap,5038,-0.0107,0.0000,-0.0149,-0.0041,170.5032
inventory_gap,5039,-0.0138,0.0000,-0.0145,-0.0007,171.3891
inventory_gap,5040,-0.0127,0.0000,-0.0123,0.0004,174.7660
inventory_gap,5041,-0.0141,0.0000,-0.0136,0.0005,176.1683
inventory_gap,5042,-0.0143,0.0000,-0.0141,0.0002,173.9073
inventory_gap,5043,-0.0168,0.0000,-0.0167,0.0000,178.1808
inventory_gap,5044,-0.0154,0.0000,-0.0175,-0.0021,177.6314
inventory_gap,5045,-0.0167,0.0000,-0.0111,0.0056,179.3780
inventory_gap,5046,-0.0162,0.0000,-0.0152,0.0010,178.2752
inventory_gap,5047,-0.0108,0.0000,-0.0129,-0.0020,173.5741
inventory_gap,5048,-0.0102,0.0000,-0.0138,-0.0036,169.5395
inventory_gap,5049,-0.0135,0.0000,-0.0155,-0.0019,175.4850
inventory_gap,5050,-0.0130,0.0000,-0.0128,0.0002,170.9602
inventory_gap,5051,-0.0085,0.0000,-0.0112,-0.0027,166.0015
inventory_gap,5052,-0.0139,0.0000,-0.0156,-0.0017,174.6163
inventory_gap,5053,-0.0124,0.0000,-0.0146,-0.0022,173.4781
inventory_gap,5054,-0.0160,0.0000,-0.0171,-0.0011,174.9193
